"","X1","artist","title","reviewid","score","author","author_type","pub_date","pub_weekday","album_release_year"
"568",588,"vampire weekend","contra",13807,8.6,"mike powell","contributor",2010-01-11,0,2010
"569",589,"vampire weekend","modern vampires of the city",17963,9.3,"ryan dombal","senior editor",2013-05-13,0,2013
"570",590,"various artists","after dark",10351,8.3,"marc hogan","senior staff writer",2007-06-22,4,2007
"571",591,"various artists","dark was the night",12717,8.6,"scott plagenhoef","contributor",2009-02-26,3,2009
"572",592,"various artists","5: five years of hyperdub",13614,8.2,"mike powell","contributor",2009-10-28,2,2009
"573",593,"various artists","after dark 2",18134,8.3,"andrew gaerig","contributor",2013-05-31,4,2013
"574",594,"various artists","hyperdub 10.1",19356,8.5,"larry fitzmaurice","contributor",2014-05-21,2,2014
"575",595,"various artists","dfa compilation #2",2032,9,"nick sylvester","contributor",2004-11-03,2,2004
"576",597,"vashti bunyan","lookaftering",1136,8.5,"matthew murphy","contributor",2005-10-27,3,2005
"577",598,"vijay iyer","a cosmic rhythm with each stroke",21518,8.5,"seth colter walls","contributor",2016-03-23,2,2016
"578",599,"viktor vaughn","vaudeville villain",8514,9.1,"rollie pemberton",NA,2003-09-15,0,2003
"579",600,"vince staples","hell can wait",19849,8.5,"craig jenkins","contributor",2014-10-14,1,2014
"580",601,"vince staples","summertime '06",20719,8.8,"jayson greene","senior editor",2015-06-29,0,2015
"581",602,"vitalic","ok cowboy",8538,8.6,"mark pytlik","contributor",2005-04-28,3,2005
"582",603,"vivian girls","vivian girls",12286,8.5,"amy granzin","contributor",2008-10-03,4,2008
"583",604,"volcano choir","unmap",13506,8.3,"mark richardson","executive editor",2009-09-24,3,2009
"584",605,"washed out","within and without",15614,8.3,"brandon soderberg","contributor",2011-07-11,0,2011
"585",606,"wavves","wavvves",12783,8.1,"david bevan","contributor",2009-03-04,2,2009
"586",607,"wavves","king of the beach",14415,8.4,"ian cohen","contributor",2010-07-01,3,2010
"587",608,"waxahatchee","cerulean salt",17688,8.4,"lindsay zoladz","contributor",2013-03-07,3,2013
"588",609,"weyes blood","front row seat to earth",22463,8.3,"jillian mapes","senior editor",2016-10-19,2,2016
"589",610,"white lung","deep fantasy",19460,8.6,"ian cohen","contributor",2014-06-17,1,2014
"590",611,"white lung","paradise",21849,8.4,"laura snapes","contributor",2016-05-06,4,2016
"591",612,"whitney","light upon the lake",21871,8.3,"matthew schnipper","managing editor",2016-06-06,0,2016
"592",613,"why?","oaklandazulasylum",8670,8.1,"chris dahlen",NA,2003-07-03,3,2003
"593",614,"wild beasts","two dancers",13382,8.4,"stuart berman","contributor",2009-08-31,0,2009
"594",615,"wild nothing","gemini",14280,8.2,"ian cohen","contributor",2010-06-03,3,2010
"595",616,"wild nothing","nocturne",16969,8.3,"ian cohen","contributor",2012-08-28,1,2012
"596",617,"wilderness","wilderness",8791,8.5,"ryan schreiber","editor-in-chief",2005-06-23,3,2004
"597",618,"william basinski","the disintegration loops i-iv",577,9.4,"joe tangari","contributor",2004-04-08,3,2003
"598",619,"wolf parade","apologies to the queen mary",8794,9.2,"brandon stosuy","contributor",2005-09-25,6,2005
"599",620,"wolves in the throne room","celestial lineage",15835,8.6,"brandon stosuy","contributor",2011-09-23,4,2011
"600",621,"woods","songs of shame",12837,8.3,"matthew murphy","contributor",2009-04-24,4,2009
"601",622,"wu lyf","go tell fire to the mountain",15567,8.4,"ian cohen","contributor",2011-06-23,3,2011
"602",623,"xiu xiu","fabulous muscles",8826,9,"matt lemay","contributor",2004-02-17,1,2004
"603",624,"yacht","see mystery lights",13334,8.5,"rebecca raber",NA,2009-08-05,2,2009
"604",625,"yo la tengo","i am not afraid of you and i will beat your ass",9397,8.3,"mark richardson","executive editor",2006-09-11,0,2006
"605",626,"young thug","barter 6",20529,8.4,"meaghan garvey","contributor",2015-04-24,4,2015
"606",627,"young thug","jeffery",22329,8.5,"sheldon pearce","associate staff writer",2016-09-01,3,2016
"607",628,"youth lagoon","the year of hibernation",15873,8.4,"mark richardson","executive editor",2011-09-29,3,2011
"608",629,"youth lagoon","wondrous bughouse",17672,8.7,"ian cohen","contributor",2013-03-04,0,2013
