"","x","artist","title","reviewid","score","author","author_type","pub_date","pub_weekday","album_release_year"
"566",565,"the xx","xx",13400,8.7,"andrew gaerig","contributor","2009-08-28",4,2009
"567",566,"these new puritans","field of reeds",18103,8.4,"laura snapes","contributor","2013-06-14",4,2013
"568",567,"thundercat","the beyond / where the giants roam",20760,8.3,"seth colter walls","contributor","2015-06-26",4,2015
"569",568,"tim hecker","ravedeath, 1972",15124,8.6,"joe colly","contributor","2011-02-18",4,2011
"570",569,"tim hecker","virgins",18559,8.3,"mike powell","contributor","2013-10-15",1,2013
"571",570,"tim hecker","harmony in ultraviolet",9497,8.7,"mark richardson","executive editor","2006-10-16",0,2006
"572",571,"times new viking","rip it off",11066,8.4,"jason crock",NA,"2008-01-22",1,2008
"573",572,"titus andronicus","the airing of grievances",11202,8.5,"adam moerder",NA,"2008-04-25",4,2008
"574",573,"titus andronicus","the monitor",14010,8.7,"rob mitchum","contributor","2010-03-12",4,2010
"575",574,"tnght","tnght",16854,8.5,"larry fitzmaurice","contributor","2012-07-25",2,2012
"576",575,"tobias jesso jr.","goon",20153,8.5,"mark richardson","executive editor","2015-03-16",0,2015
"577",576,"todd terje","it's album time",19148,8.7,"mike powell","contributor","2014-04-07",0,2014
"578",577,"toro y moi","underneath the pine",15129,8.3,"ian cohen","contributor","2011-02-25",4,2011
"579",578,"trash talk","awake",15911,8.2,"brandon stosuy","contributor","2011-10-14",4,2011
"580",579,"tune-yards","w h o k i l l",15321,8.8,"matthew perpetua",NA,"2011-04-18",0,2011
"581",580,"tv on the radio","dear science",12246,9.2,"chris dahlen",NA,"2008-09-22",0,2008
"582",581,"tv on the radio","young liars",8196,8.9,"eric carr","contributor","2003-07-27",6,2003
"583",582,"tv on the radio","return to cookie mountain",9177,9.1,"chris dahlen",NA,"2006-07-05",2,2006
"584",583,"twin shadow","forget",14675,8.4,"liz colville",NA,"2010-10-04",0,2010
"585",584,"twin shadow","confess",16805,8.6,"ian cohen","contributor","2012-07-06",4,2012
"586",585,"ty segall band","slaughterhouse",16744,8.7,"stuart berman","contributor","2012-06-25",0,2012
"587",586,"vampire weekend","vampire weekend",11058,8.8,"nitsuh abebe","contributor","2008-01-28",0,2008
"588",587,"vampire weekend","contra",13807,8.6,"mike powell","contributor","2010-01-11",0,2010
"589",588,"vampire weekend","modern vampires of the city",17963,9.3,"ryan dombal","senior editor","2013-05-13",0,2013
"590",589,"various artists","after dark",10351,8.3,"marc hogan","senior staff writer","2007-06-22",4,2007
"591",590,"various artists","dark was the night",12717,8.6,"scott plagenhoef","contributor","2009-02-26",3,2009
"592",591,"various artists","5: five years of hyperdub",13614,8.2,"mike powell","contributor","2009-10-28",2,2009
"593",592,"various artists","after dark 2",18134,8.3,"andrew gaerig","contributor","2013-05-31",4,2013
"594",593,"various artists","hyperdub 10.1",19356,8.5,"larry fitzmaurice","contributor","2014-05-21",2,2014
"595",594,"various artists","dfa compilation #2",2032,9,"nick sylvester","contributor","2004-11-03",2,2004
"596",595,"various artists","run the road",2058,9.1,"mark pytlik","contributor","2005-02-11",4,2005
"597",596,"vashti bunyan","lookaftering",1136,8.5,"matthew murphy","contributor","2005-10-27",3,2005
"598",598,"vijay iyer","a cosmic rhythm with each stroke",21518,8.5,"seth colter walls","contributor","2016-03-23",2,2016
"599",599,"viktor vaughn","vaudeville villain",8514,9.1,"rollie pemberton",NA,"2003-09-15",0,2003
"600",600,"vince staples","hell can wait",19849,8.5,"craig jenkins","contributor","2014-10-14",1,2014
"601",601,"vince staples","summertime '06",20719,8.8,"jayson greene","senior editor","2015-06-29",0,2015
"602",602,"vitalic","ok cowboy",8538,8.6,"mark pytlik","contributor","2005-04-28",3,2005
"603",603,"vivian girls","vivian girls",12286,8.5,"amy granzin","contributor","2008-10-03",4,2008
"604",604,"volcano choir","unmap",13506,8.3,"mark richardson","executive editor","2009-09-24",3,2009
"605",605,"washed out","within and without",15614,8.3,"brandon soderberg","contributor","2011-07-11",0,2011
"606",606,"wavves","wavvves",12783,8.1,"david bevan","contributor","2009-03-04",2,2009
"607",607,"wavves","king of the beach",14415,8.4,"ian cohen","contributor","2010-07-01",3,2010
"608",608,"waxahatchee","cerulean salt",17688,8.4,"lindsay zoladz","contributor","2013-03-07",3,2013
"609",609,"weyes blood","front row seat to earth",22463,8.3,"jillian mapes","senior editor","2016-10-19",2,2016
"610",610,"white lung","deep fantasy",19460,8.6,"ian cohen","contributor","2014-06-17",1,2014
"611",611,"white lung","paradise",21849,8.4,"laura snapes","contributor","2016-05-06",4,2016
"612",612,"whitney","light upon the lake",21871,8.3,"matthew schnipper","managing editor","2016-06-06",0,2016
"613",613,"why?","oaklandazulasylum",8670,8.1,"chris dahlen",NA,"2003-07-03",3,2003
"614",614,"wild beasts","two dancers",13382,8.4,"stuart berman","contributor","2009-08-31",0,2009
"615",615,"wild nothing","gemini",14280,8.2,"ian cohen","contributor","2010-06-03",3,2010
"616",616,"wild nothing","nocturne",16969,8.3,"ian cohen","contributor","2012-08-28",1,2012
"617",617,"wilderness","wilderness",8791,8.5,"ryan schreiber","editor-in-chief","2005-06-23",3,2004
"618",618,"william basinski","the disintegration loops i-iv",577,9.4,"joe tangari","contributor","2004-04-08",3,2003
"619",619,"wolf parade","apologies to the queen mary",8794,9.2,"brandon stosuy","contributor","2005-09-25",6,2005
"620",620,"wolves in the throne room","celestial lineage",15835,8.6,"brandon stosuy","contributor","2011-09-23",4,2011
"621",621,"woods","songs of shame",12837,8.3,"matthew murphy","contributor","2009-04-24",4,2009
"622",622,"wu lyf","go tell fire to the mountain",15567,8.4,"ian cohen","contributor","2011-06-23",3,2011
"623",623,"xiu xiu","fabulous muscles",8826,9,"matt lemay","contributor","2004-02-17",1,2004
"624",624,"yacht","see mystery lights",13334,8.5,"rebecca raber",NA,"2009-08-05",2,2009
"625",625,"yo la tengo","i am not afraid of you and i will beat your ass",9397,8.3,"mark richardson","executive editor","2006-09-11",0,2006
"626",626,"young thug","barter 6",20529,8.4,"meaghan garvey","contributor","2015-04-24",4,2015
"627",627,"young thug","jeffery",22329,8.5,"sheldon pearce","associate staff writer","2016-09-01",3,2016
"628",628,"youth lagoon","the year of hibernation",15873,8.4,"mark richardson","executive editor","2011-09-29",3,2011
"629",629,"youth lagoon","wondrous bughouse",17672,8.7,"ian cohen","contributor","2013-03-04",0,2013
